evidence_id,source_id,claim,claim_type,topic,relevance_to_iwin,follow_up_needed
E001,S037,"Elevation-type BIPV optimizer study reports optimizer-equipped BIPV had about 2-3x lower power-loss rate than non-optimized BIPV under about 10-75% shade on one module.",verified_source_claim,optimizer,"Direct facade/BIPV evidence that module-level optimization matters under partial shade.","Verify experimental setup details and whether optimizer behavior maps to moving blinds."
E002,S037,"Study system used 171 W modules, 20.77 V maximum power voltage, 342 W system capacity, south/90 degree orientation.",verified_source_claim,optimizer,"BIPV module scale is closer to blind-module scale than rooftop panels.","Need iWin blind module Vmp/Pmp to compare."
E003,S037,"Optimizer used in study had 600 W rated input DC power, 60 V maximum input voltage, 8-60 V MPPT operating range, and 150x100x42 mm dimensions.",verified_source_claim,optimizer,"Shows a BIPV-specific optimizer can have an 8 V MPPT floor, lower than many commercial MLPE devices.","Product identity/certification/cost not established."
E004,S038,"Facade-BIPV study developed/tested a prototype optimizer and compared no optimizer, conventional optimizer, and prototype optimizer under 10%, 25%, 50%, and 75% one-module shading.",verified_source_claim,optimizer,"Direct facade shading topology evidence.","Need exact prototype schematic/BOM and certification status."
E005,S038,"Facade-BIPV study reports PV energy at 75% one-module shading of 0.34 kWh/day without optimizer versus 0.65 kWh/day with optimizers in the scraped table.",verified_source_claim,optimizer,"Supports independent MPPT/optimization under strong localized shade.","Single study and weather/day conditions; not enough for annual prediction."
E006,S039,"IEA PVPS Task 15 report says BIPV often needs higher spatial-temporal granularity because non-optimal placements are more common than in solar power plants.",verified_source_claim,background,"Supports modelling iWin as dynamic, high-granularity shading instead of simple rooftop PV.","Not a topology recommendation."
E007,S039,"IEA PVPS report states many BIPV tools still lack important features for vertical or externally mounted BIPV.",verified_source_claim,background,"Warns against using generic rooftop tools for iWin yield/topology claims.","Need specific modelling workflow for blinds."
E008,S002,"Tigo TS4-A-O datasheet: 725 W max output power, 16 A Imp, 22 A Isc, 12-80 V input voltage range, 1000/1500 V max system voltage.",verified_source_claim,optimizer,"Commercial optimizer electrical envelope anchor.","Need iWin per-blind Vmp/Isc/Pmp."
E009,S002,"Tigo TS4-A-O datasheet: IP68, -40 to 70 C operating range, 139.7x138.4x22.9 mm, 520 g.",verified_source_claim,optimizer,"Packaging and thermal baseline for headbox/frame placement.","Moving vibration/cycle life not specified."
E010,S003,"Tigo manual: TAP communicates wirelessly with TS4 devices; CCA can communicate with up to 7 TAPs and up to 900 TS4s.",verified_source_claim,optimizer,"Shows gateway scaling if many blind modules use TS4 monitoring/RSS.","Wireless reliability in metal/glass facade and moving blind geometry unknown."
E011,S003,"Tigo manual: for PV RSS compliance, CCA must be on same AC branch circuit as inverter(s) it controls, and rapid shutdown initiator must turn off CCA power.",verified_source_claim,optimizer,"Rapid shutdown architecture may drive AC/DC control wiring in a facade installation.","Jurisdiction-specific code interpretation needed."
E012,S003,"Tigo manual: TS4-A-O used only to optimize performance does not require TAP or CCA, while CCA/TAP enable monitoring and rapid shutdown.",verified_source_claim,optimizer,"Separates optimization-only from safety/monitoring architecture.","Need confirm exact product firmware and code path."
E013,S004,"ONSA Plus listed Tigo TS4-A-O at EUR 32 excl. VAT / EUR 39.36 incl. VAT, in stock, with 2026 page copyright.",price_observation,optimizer,"EU retail cost anchor per optimizer/blind channel.","Volatile retail price; not system BOM."
E014,S005,"Signature Solar category listed Tigo TS4-A-O at USD 55.84 and long-cable TS4-A-O at USD 57.95.",price_observation,optimizer,"US retail optimizer cost anchor.","Category price may change; verify at procurement."
E015,S005,"Signature Solar category listed Tigo CCA around USD 165.13 / sale USD 151.00, TAP USD 67.77, CCA/TAP kit USD 367.03.",price_observation,optimizer,"Gateway/accessory cost can dominate small blind-module economics.","Confirm required accessories for exact code path."
E016,S008,"SolarEdge S1400 datasheet: 1400 W rated input, 125 V max input, 12.5-105 V MPPT, 20 A max Isc, 80 V max output, 24 A max output current, 1 V safety output.",verified_source_claim,optimizer,"Commercial string optimizer electrical envelope and SafeDC anchor.","Likely oversized and ecosystem-bound for one blind."
E017,S008,"SolarEdge S1400 string constraints include minimum 14/15 optimizers depending inverter, max 30 optimizers, and S1400 connects two modules in series.",verified_source_claim,optimizer,"Hard blocker for standalone blind modules; possible only for large facade strings.","Need exact compatible inverter if considered."
E018,S010,"Huawei MERC specs: 125 V max input, 12.5-105 V MPPT, 20 A short-circuit current, 2-80 V output, 22 A max output, typical 1 V safe output.",verified_source_claim,optimizer,"Comparable commercial optimizer envelope.","Huawei inverter ecosystem likely required."
E019,S011,"Huawei configuration principles say parallel strings should have same PV module model, quantity, direction, and tilt; shaded strings should use separate MPPT.",verified_source_claim,optimizer,"Supports one independent MPPT per differently shaded blind module.","May rule out shared MPPT zones."
E020,S012,"Huawei cable manual says not to use extension cable between optimizer input and PV module.",verified_source_claim,optimizer,"Potential moving-boundary blocker for blinds if optimizer cannot be placed near PV leads.","Need vendor clarification for custom BIPV cabling."
E021,S013,"Deye SUN-XL02-A/B datasheet: 700 W max input, 80 V max input, 12-80 V MPPT, 15 A max input, IP68, -40 to 85 C, about 105x105x20/22 mm.",verified_source_claim,optimizer,"Compact optimizer and low MPPT floor are relevant to headbox packaging.","Still high-voltage string product."
E022,S013,"Deye SUN-XL02-B rapid shutdown function is available only with optimizer concentrators.",verified_source_claim,optimizer,"Shows accessory/gateway dependence for safety behavior.","Need concentrator architecture/cost/certification."
E023,S015,"7Sun listed Deye SUN-XL02-A EUR 28.20 net / EUR 34.69 gross and Deye concentrator EUR 105.53 net / EUR 129.80 gross.",price_observation,optimizer,"EU cost anchor for compact optimizer plus concentrator.","Stock varied; distributor data only."
E024,S015,"7Sun listed Huawei MERC-1100 at EUR 64.95 net and MERC-1300 at EUR 77.10 net, SolarEdge S440/S500/S650A around EUR 39-49 net, Tigo TS4-A-O around EUR 29.62 net.",price_observation,optimizer,"Relative PO hardware cost evidence across vendors.","Stock often 0; verify procurement."
E025,S017,"Analog/Maxim product brief describes cell-string-level MPPT for 6-24 cells and replacing bypass diodes.",verified_source_claim,background,"Relevant if iWin needs custom substring/slat-laminate electronics.","Not a certified commercial blind controller."
E026,S018,"TI TIDA-010949 supports 15-80 V input, up to 80 V output, 18 A input/output, 4-switch buck-boost, PLC and wireless communication.",verified_source_claim,optimizer,"Credible custom optimizer reference for one blind module if commercial MLPE fails.","Reference design only; needs product engineering/certification."
E027,S019,"Enphase IQ8/IQ8+ datasheet: common module pairings 235-350 W and 235-440 W, MPPT 27-37 V and 27-45 V, max DC 50/60 V, max input current 10/12 A.",verified_source_claim,microinverter,"Microinverter input envelope anchor.","Blind module may be below power/voltage range."
E028,S019,"Enphase IQ8 datasheet lists CA Rule 21, UL 62109-1, IEEE 1547:2018 / UL1741-SB, rapid shutdown listing when installed per instructions.",verified_source_claim,microinverter,"Grid/certification path anchor for AC-module topology.","North America-specific; check target market."
E029,S020,"Enphase manual requires IQ Cable branch wiring and IQ Gateway for monitoring/grid profile; warns not to disconnect DC under load and notes heatsink can reach 90 C.",verified_source_claim,microinverter,"Facade AC wiring, service, and thermal constraints.","Fixed-module manual, not movable blind."
E030,S021,"Enphase store listed IQ8 USD 166.50, IQ8+ USD 189.00, IQ8A USD 223, IQ8H USD 242.",price_observation,microinverter,"Manufacturer price anchor per AC conversion channel.","Accessories and gateway excluded."
E031,S023,"APsystems EZ1 datasheet: two independent MPPT channels, 28-45 V MPPT, 26-60 V operating, 60 V max DC, 20 A x2 input, 230 Vac 50 Hz output, IP67, -40 to 65 C.",verified_source_claim,microinverter,"Strong two-blind-module or dual-input headbox analog.","Module power may still exceed blind module."
E032,S024,"APsystems EZ1 manual: one EZ1 connects to two PV modules; EZ1-M expansion can connect two PV modules per channel, max four modules, with DC cable length within 3 m.",verified_source_claim,microinverter,"Direct constraint for grouping modules and cable length.","Need clarify if one blind module can substitute one PV module/channel."
E033,S024,"APsystems EZ1 manual scopes DIY to balcony/garden/garage/carport and states support/warranty not available for rooftop installation systems.",verified_source_claim,microinverter,"Facade/BIPV use may fall outside intended support/warranty.","Need APsystems application approval."
E034,S024,"APsystems EZ1 manual says plug-in grid use must comply with local power limits, citing Germany 800 W, otherwise professional electrician/installer required.",verified_source_claim,microinverter,"Plug-in AC topology depends heavily on jurisdiction.","Need target country/grid operator rules."
E035,S026,"APsystems DS3 manual: two independent MPPT channels, 28-45 V MPPT, 26-60 V operating range, 60 V max DC, 18/20 A x2, 730/880 VA output, IP67.",verified_source_claim,microinverter,"Two-input fixed-frame or zone analog.","APAC manual and product support region need validation."
E036,S027,"Hoymiles HMS-300..500-1T page: single-input microinverters with recommended module power ranges from 240-405 W+ to 400-670 W+, max DC 60-65 V, input currents about 11.5-16 A.",verified_source_claim,microinverter,"Lower-power MI option compared with mainstream Enphase/APsystems.","Need formal datasheet and certifications."
E037,S029,"Hoymiles 2T scraped evidence conflicts: page text suggests independent MPPT/monitoring but table line showed one MPPT.",open_assumption,microinverter,"Cannot rely on two independent blind-module channels until resolved.","Scrape formal datasheet."
E038,S030,"Offgridtec listed Hoymiles HMS-500 at EUR 101.14 incl. 19% VAT / EUR 84.99 with 0% VAT, IP67, -40 to 65 C, 182x164x30 mm.",price_observation,microinverter,"EU low-power microinverter cost/size anchor.","Distributor data; verify live price and certification."
E039,S033,"NEP BDM-300 datasheet: 22-55 V MPPT, 60 V max DC, 14 A input, 250 W continuous AC, 300 W peak, IP66/IP67/NEMA6, UL/CSA/IEC/IEEE/VDE certifications listed.",verified_source_claim,microinverter,"Smallest conventional microinverter envelope in cache.","Direct BDM-300 price missing."
E040,S034,"NEP manual: AC trunk/daisy-chain, PLC to BDG gateway, no customer service, AC first, no under-load disconnect.",verified_source_claim,microinverter,"AC service/wiring constraints for facade install.","Not moving-blind specific."
E041,S036,"TSUN GEN3 6-in-1 datasheet: six DC inputs/six MPPTs, 16-60 V MPPT, 60 V max DC, 18 A input, 25 A Isc, 2400-3300 W AC, IP67.",verified_source_claim,microinverter,"Potential zone-level packaging pattern with one MPPT per blind module.","Too large for one blind; price and installation manual missing."
E042,S040,"IEC 62548-1 scope includes PV array DC wiring, protection devices, switching, earthing, and revised provisions for DC-DC conditioning units.",standards_scope,both,"DC collection with optimizers must be designed as a PV array, not just low-voltage gadget wiring.","Full standard clause extraction needed."
E043,S041,"IEC 62109-1 defines minimum safety requirements for PV power conversion equipment against shock, energy, fire, mechanical and other hazards.",standards_scope,both,"Applies to custom optimizer/converter choices.","Full standard required for design."
E044,S042,"IEC 62109-2 covers particular safety requirements for PV inverter products and products performing inverter functions.",standards_scope,microinverter,"Applies to microinverter/AC-module path.","Full standard required."
E045,S043,"IEC 62109-3 covers electronic elements mechanically/electrically incorporated with PV modules/systems and module integrated equipment.",standards_scope,both,"Central if iWin integrates electronics into the blind module product.","Full standard and certification lab guidance needed."
E046,S044,"IEC 62116 provides islanding prevention test procedure for utility-interconnected PV inverters.",standards_scope,microinverter,"Microinverter topology needs anti-islanding/grid compliance.","Local grid code still dominates."
E047,S045,"UL 1741 covers inverters, converters, controllers, interconnection system equipment, and AC modules combining PV modules and inverters.",standards_scope,microinverter,"US AC-module/microinverter route must map to UL 1741/IEEE 1547 listing.","Full standard/listing verification needed."
E048,S046,"UL DER testing page states UL tests power inverters, converters, and controllers to UL 1741, IEC/UL 62109, and local grid codes such as IEEE 1547; scope depends on stand-alone versus utility-interconnected use.",standards_scope,both,"Certification path differs for DC-only optimizers, microinverters, and integrated BIPV electronics.","Need target market and product boundary."
E049,ALL,"If multiple blind modules are merged into one MPPT channel before tracking, shading mitigation is compromised.",engineering_inference,both,"Defines topology boundary: one independent MPPT per blind module is the meaningful modularity criterion.","Quantify with iWin shade/current model."
E050,ALL,"Slat-level electronics are rejected for current architecture synthesis; blind-module-level electronics are the working unit.",engineering_inference,both,"Prevents unrealistic service/wiring/cost explosion and matches user-defined blind module boundary.","Reopen only if custom cell-string laminate electronics becomes a product program."
