source_id,url,source_type,topology_relevance,evidence_type,why_it_matters,limitations,recommended_bucket
PDO-S001,https://eepower.com/news/eiq-energy-launches-parallel-solar-technology-for-solar-arrays/,technical news / historic product clue,PDO,architecture / design,"Directly describes parallel solar panels connected through vBoost DC/DC modules to a constant high-voltage DC bus with distributed MPPT.","Old non-official article; no current supplier/certification path found.",useful
PDO-S002,https://www.sciencedirect.com/science/article/pii/S2352484726002015,paper,PDO,design / prototype,"Confirms current research on parallel solar power optimizer structures for high-voltage DC bus architectures and 100 W lab prototypes.","Not a product; not certified; lab scale.",useful
PDO-S003,https://www.ampt.com/products/string-optimizers/,manufacturer,PDO / background,design / installation,"Commercial string-scale optimizer evidence for dual MPPT inputs, DC-bus voltage matching, and 600-1500 V system voltage.","String-scale product; not blind/module-scale.",useful
PDO-S004,https://alenconsystems.com/dc-dc-optimizers/,manufacturer,PDO / background,design / isolation,"Commercial isolated multi-input DC/DC optimizer evidence with MPPT per input and customizable output voltage to a DC bus.","Commercial/utility string scale; not 300-600 W blind-scale hardware.",useful
PDO-S005,https://www.victronenergy.com/media/pg/VE.Smart_Networking/en/synchronised-charging---further-details.html,manufacturer manual,PDO / low-voltage bus,installation / control,"Shows multiple SmartSolar charge controllers can charge one battery as one large charger while each controls its own output current.","Battery-bus architecture; not grid-tie BIPV MLPE.",useful
PDO-S006,https://www.victronenergy.com/media/pg/VE.Smart_Networking/en/limitations.html,manufacturer manual,PDO / low-voltage bus,installation / control,"Gives VE.Smart network maximum of 10 devices and small-system scope.","Network limit is not the primary iWin limit; current/protection limit dominates.",useful
PDO-S007,https://www.victronenergy.com/media/pg/Manual_BlueSolar_150-35__150-45/en/technical-specifications.html,manufacturer manual,PDO / low-voltage bus,design / installation,"Gives 12/24/36/48 V battery support, 35 A output, 2 kW PV at 48 V, 150 V PV Voc, and PV voltage above battery requirement.","Buck charger; conflicts with 45 Vmp source charging a 48 V bus.",useful
PDO-S008,https://sunforgellc.com/product/gvb-8/,manufacturer,PDO / low-voltage bus,design / price,"Small boost MPPT controller evidence for lower-voltage PV charging 24/36/48 V battery packs; price anchor for 48 V model.","350 W class and input limits are tight for iWin.",useful
PDO-S009,https://sunforgellc.com/wp-content/uploads/2022/04/GVB-8_Manual-rev.4.1-2021-2022_AP.pdf,manufacturer manual,PDO / low-voltage bus,design / safety / installation,"Gives GVB-8 input range, current, Vmp/Voc recommendations, temperature, certifications, and non-isolated warning.","Not a grid/BIPV product; 48 V model limited to 350 W and recommended Vmp 43 V.",required
PDO-S010,https://www.infineon.com/application/power-optimizer-solutions,component vendor / reference,PDO / custom DCO,design,"Shows component/reference support for PV power optimizers, including 400 W buck-boost and 600 W buck reference designs.","Not finished electronics; certification and packaging required.",useful
PDO-S011,https://www.ti.com/lit/pdf/tiduf99,reference design,PDO / custom DCO,design,"600 W optimizer reference with 15-80 V input, 18 A, buck/buck-boost options; close to iWin power class.","Reference design only; no enclosure/certification/product warranty.",useful
